"mallcauses" "fallcauses" "mbmi" "fbmi" "msmoking" "fsmoking"
"1924" NA NA NA NA NA NA
"1925" NA NA NA NA NA NA
"1926" NA NA NA NA NA NA
"1927" NA NA NA NA NA NA
"1928" NA NA NA NA NA NA
"1929" NA NA NA NA NA NA
"1930" NA NA NA NA NA NA
"1931" NA NA NA NA NA NA
"1932" NA NA NA NA NA NA
"1933" 1 1 NA NA NA NA
"1934" 1 1 NA NA NA NA
"1935" 1 1 NA NA NA NA
"1936" 1 1 NA NA NA NA
"1937" 1 1 NA NA NA NA
"1938" 1 1 NA NA NA NA
"1939" 1 1 NA NA NA NA
"1940" 1 1 NA NA NA NA
"1941" 1 1 NA NA NA NA
"1942" 1 1 NA NA NA NA
"1943" 1 1 NA NA NA NA
"1944" 1 1 NA NA NA NA
"1945" 1 1 NA NA NA NA
"1946" 1 1 NA NA NA NA
"1947" 1 1 NA NA NA NA
"1948" 1 1 NA NA NA NA
"1949" 1 1 NA NA NA NA
"1950" 1 1 NA NA NA NA
"1951" 1 1 NA NA NA NA
"1952" 1 1 NA NA NA NA
"1953" 1 1 NA NA NA NA
"1954" 1 1 NA NA NA NA
"1955" 1 1 NA NA NA NA
"1956" 1 1 NA NA NA NA
"1957" 1 1 NA NA NA NA
"1958" 1 1 NA NA NA NA
"1959" 1 1 NA NA NA NA
"1960" 1 1 NA NA NA NA
"1961" 1 1 NA NA NA NA
"1962" 1 1 NA NA NA NA
"1963" 1 1 NA NA NA NA
"1964" 1 1 NA NA NA NA
"1965" 1 1 NA NA NA NA
"1966" 1 1 NA NA NA NA
"1967" 1 1 NA NA NA NA
"1968" 1 1 NA NA NA NA
"1969" 1 1 NA NA NA NA
"1970" 1 1 NA NA NA NA
"1971" 1 1 NA NA NA NA
"1972" 1 1 NA NA NA NA
"1973" 1 1 NA NA NA NA
"1974" 1 1 NA NA NA NA
"1975" 1 1 NA NA NA NA
"1976" 1 1 NA NA NA NA
"1977" 1 1 NA NA NA NA
"1978" 1 1 NA NA NA NA
"1979" 1 1 NA NA NA NA
"1980" 1 1 NA NA NA NA
"1981" 1 1 NA NA NA NA
"1982" 1 1 NA NA NA NA
"1983" 1 1 NA NA NA NA
"1984" 1 1 NA NA NA NA
"1985" 1 1 NA NA NA NA
"1986" 1 1 NA NA NA NA
"1987" 1 1 NA NA NA NA
"1988" 1 1 NA NA NA NA
"1989" 1 1 NA NA NA NA
"1990" 1 1 NA NA NA NA
"1991" 1 1 NA NA NA NA
"1992" 1 1 NA NA NA NA
"1993" 1 1 NA NA NA NA
"1994" 1 1 NA NA NA NA
"1995" 1 1 NA NA NA NA
"1996" 1 1 NA NA NA NA
"1997" 1 1 NA NA NA NA
"1998" 1 1 NA NA NA NA
"1999" 1 1 NA NA NA NA
"2000" 1 1 NA NA NA NA
"2001" 1 1 NA NA NA NA
"2002" 1 1 NA NA NA NA
"2003" 1 1 NA NA NA NA
"2004" 1 1 NA NA NA NA
"2005" 1 1 NA NA NA NA
